class,text
i,"피해자가 당시 비스듬히 기대고 있었든지 혹은 완전히 바닥에 누워있었든지 간에, 칼이 피해자의 몸에 직각에 가까운 각도로 들어간다는 것은 극히 이례적인 일이며,"
d,"1 피고인이 이 사건 범행에 사용한 도구가 전체길이 약 10cm, 칼날길이 약 8cm 정도 되는 칼인 것으로 보이는데,"
d,"그래서 같이 가서 확인을 한 후, 처가 형수에게 전화를 걸어 상황을 설명하자 형수가 먼저 자수하라고 하였고,"
d,"피고인의 가족들이 이 사건 재판과정에서 비로소 주장하고 있는 심한 폭행의 흔적들 (전신에 멍이 들어 있었고 얼굴을 알아볼 수 없을 정도였다는 등)에 대해서는 언급이 없는 점 등에 비추어 보면,"
i,피고인은 이 사건 범행 당시 자신이 피해자에게 한 행위의 의미와 그 행위가 범죄에 해당한다는 점을 충분히 인식하고 있었던 것으로 보인다.
w,"자기의 행위로 인하여 타인의 사망이라는 결과를 발생시킬 만한 가능성 또는 위험이 있음을 인식하거나 예견하면 족한 것이며 그 인식이나 예견은 확정적인 것은 물론 불확정적인 것이라도 이른바 미필적 고의로 인정되는 것인바,"
d,"이와 같은 피고인의 공격으로 피해자 E이 입은 상해 부위가 우측 골반부이기는 하지만,"
d,"신고를 한 것 외에 구급대가 도착할 때까지 피해자를 구호하기 위한 지혈 등의 조치도 취하지 않았던 점,"
d,"또한, 피해자 D이 상해를 입은 부위를 촬영한 사진 및 이 사건 직후 사건 현장을 촬영한 사진의 영상에 의하면,"
d,"""성질 나니까 난 솔직히 살인하고도 남아, 솔직히 나는 지금"","
d,2 피고인은 가위로 피해자 C의 목 부위를 찔렀다.
w,범행 전후의 모든 사정을 종합하여 판단하여야 한다
d,"계속 도망을 쳤다.""는 취지로 진술하였는데,"
d,"(증거기록 285쪽),"
ic,따라서 피고인과 변호인의 이 부분 주장은 받아들이지 아니한다.
d,"피고인이 피해자의 왼쪽 겨드랑이 부위를 1회 찌른 것은 사실이나,"
i,"피고인은 이 사건 범행 당시 사물을 변별하거나 의사를 결정하는 데 장애를 일으킬만한 정신질환 등을 앓고 있지는 않았던 점,"
d,당시 피해자는 인중에 상처를 입고 입술과 코에서 피를 흘리며 침대에 웅크리고 앉아 있었으나 의식은 있는 상태였고 다른 상처는 없었다.
d,기록에 의하면
d,"그 전에 사귀던 여자(C)를 해하려고 한 것 같았다'는 취지의 M의 진술 등을 종합하여 보면,"
w,자기의 행위로 인하여 타인의 사망의 결과를 발생시킬만한 가능 또는 위험이 있음을 인식하거나 예견하면 족한 것이고
i,"이를 사람을 상대로 범행에 사용할 경우에는 치명적인 결과를 야기할 수 있는 점,"
c,피해자를 살해할 의사가 없었다.
d,"피고인이 망치로 피해자의 머리 부위를 내리쳐 상해를 가한 것은 사실이나,"
i,만약 피해자들이 도망 과정에서 넘어지는 등의 사정으로 피고인을 피하지 못하였다면 피해자들 역시 D과 마찬가지로 피고인으로부터 낫으로 공격을 당하였을 것이다.
c,그러므로 피고인은 판시 제2항 범행 당시 심신미약의 상태에 이르지는 않았다고 보아야 한다.
w,"살인의 범의는 반드시 살해의 목적이나 계획적인 살해의 의도가 있어야 인정되는 것은 아니고,"
ic,따라서 피고인 및 변호인의 이 부분 주장은 받아들이지 않는다.
e,4 피고인의 정신상태를 감정한 감정인은 '피고인이 범행 당시 망상적 사고로 인하여 심신미약의 상태였던 것으로 보인다.'는 감정의견을 제시하였다.
i,그대로 믿기 어렵다.
u,6이 사건 범행으로 인한 피해자의 상해 정도에 비추어 보면
d,"당시는 차가운 바람이 심하게 부는 한겨울(영하 3.6도, 체감온도 영하 8도) 새벽이었다."
i,피고인이 범행 당시 심신장애 상태였는지 여부와는 직접 관련이 없다).
d,"다) 피해자는 2010. 9. 25. 위와 같이 평소 마시는 물이 담긴 음료수 병이 보관된 곳에서 위 농약이 담긴 음료수 병을 가지고 나와 염전 창고의 냉장고에 넣어 두었고,"
u,"가. 이 법원이 적법하게 채택하여 조사한 증거들에 의하여 인정되는 다음과 같은 사실관계 및 그로부터 추론할 수 있는 사정들을 종합하면,"
e,"그런데 범행 현장에 출동한 119 구급대원인 증인 H의 진술에 의하면 응급 처치 당시 경부에 상처가 발생할 수 있는 시술을 한적 없고,"
d,"(증거기록 366면 이하, 765면 이하)."
d,"이로 인해 피해자는 가슴 중앙 부위에 약 10cm, 오른쪽 사타구니 부위에 약 7cm의 자상을 입고 병원으로 후송되어 응급치료를 받고 상당 기간 중환자실에 입원하였다) 등을 종합하면,"
d,계속해서 목을 양손으로 잡고 졸랐습니다.
i,"진술 내용 자체에 불합리하거나 모순되는 부분도 없으며,"
w,"자기의 행위로 인하여 타인의 사망이라는 결과를 발생시킬 만한 가능성 또는 위험이 있음을 인식하거나 예견하면 족한 것이며,"
e,피해자의 부검의 최▒▒는 피해자가 입은 좌측 측두부 일부의 함몰 골절은 강한 외력이 작용하여 발생한 것으로 생각되고
e,"자신의 신체에 기괴한 이상이 있다는 신체망상과 그러한 이상이 타인에 의한 것이라는 피해망상의 증상이 보이나 의식이 명료하고 지남력, 기억력을 보유 있으며,"
i,"피고인의 변소와 같이 면도칼로 피해자를 위협하다가 우연히 피해자의 손에 상처가 생긴 것으로 보기는 어려운 점 등을 종합하면,"
e,"피해자는 키 155m,몸무게 약 53kg으로,피해자에게 익사폐(익사자가 물을 들이마시게 되면서 폐가 팽창하게 되는 것을 말한다) 및 나비뼈(접형골이라고도 하는데 머리뼈를 구성하는 뼈의 하나로 관자뼈의 앞쪽에 자리잡고 있는 나비 모양의 뼈를 말한다) 동굴에서 액성 물질이 발견되었고,"
b,"(대법원 2002. 2. 8. 선고 2001도 6425 판결, 2001. 3. 9. 선고 2000도5590 판결 등 참조)."
e,"허리 부위 피하연부조직에서 넓게 형성된 좌멸손상을 확인하였고,"
d,피고인이 칼을 들고 있는 왼쪽 손목을 자신이 잡고 있었는데 피고인이 오른손으로 칼을 바꿔 잡더니 자신의 목덜미를 찔렀다.
e,"그러나 피고인에 대한 치료감호소장의 정신감정결과통보에 의하면,"
e,"피고인의 전체 지능이 66으로 매우 낮고,"
ic,따라서 변호인의 이 부분 주장은 받아들이지 아니한다.
d,"오히려 이 사건 범행 현장의 내실 문 유리가 깨어져 있고, 천장, 벽 부분에 곡괭이에 찍힌 자국이 다수 발견되었으며,"
d,피고인이 부엌에 있었다고 주장하는 쌀 단지는 피고인이 2010. 9. 24. 자신의 이삿짐을 빼면서 일부 물건들을 부엌 옆 텃밭에서 태웠는데 현장 검증 당시 쌀 단지가 위 태운 장소 바로 옆에서 약간 그을린 채 발견된 점
i,이를 이용하여 사람의 복부에 중대한 상해를 가하는 경우에 생명에 치명적인 위험이 발생할 수 있다는 것은 충분히 예견할 수 있다.
i,조현병을 앓고 있는 피해자가 술에 만취해 이성을 잃고 자녀들 앞에서 피고인을 계속 때리고
c,이 사건 범행 당시 피고인이 우울증 등으로 인하여 사물을 변별하거나 의사를 결정할 능력이 미약한 상태에 있었다고는 보이지 아니한다.
d,"오른발로 피해자의 왼쪽 관자놀이를 1회 걷어차서 폭행하기는 하였으나,"
w,피고인이 범행 당시 살인의 범의는 없었고
i,"이 사건 범행 당일 피고인은 경제적 문제 등으로 가족들과 다투고 집을 나가 여락을 두절하여 피고인의 아내가 경찰에 가출신고까지 하였을 정도로 정신적으로 불안정한 상태였던 것으로 보이는 점,"
i,다른 원인으로 피해자 G에게 상해가 발생한 것이라는 취지로도 주장한다.
d,"일반적으로는 사람이 목에 칼이 찔리면 죽을 수도 있습니다.""라고 진술하였는데"
i,"3 피고인이 매우 위험한 도구를 사용하여 생명과 직결되는 부위인 두부를 향해 치명적인 방식에 의한 가격행위를 하고 난 다음, 범행현장에 남은 혈흔 등을 제거하거나 용의주도하고 불량한 행태로 사체를 유기하고,"
i,"피해자는 수사기관에서 수차례 일관되고 구체적으로 '피고인이 자신을 칼로 찌르려고 하였고,"
i,"이 사건 범행 직전 피해자는 머리에 충격을 받고 쇼파에 주저앉게 되었는데 그렇다면 피고인으로서는 재빨리 밖으로 나오는 등 현장을 벗어남으로써 극단적 상황을 모면할 수도 있었을 것으로 보이는 점 등에 비추어 보면,"
i,"가) 피고인이 사용한 부엌칼은 칼날길이 약 20cm, 총길이 약 30cm로 사람에게 치명상을 입힐 수 있는 흉기이다."
d,병원도 싫으니까.
d,"피고인은 피해자 F을 향하여 낫을 휘두르고 낫을 든 채 피해자들을 쫓아다녔으나,"
i,"피해자의 집에 들어가서 B를 찾고,"
d,"2 피고인의 폭행 및 목 조름으로 피해자의 양쪽 눈꺼풀결막 및 얼굴, 입안점막에서 울혈과 점출혈, 피부까짐이, 양쪽 콧구멍에서 출혈이, 목에서 여러 곳의 멍과 피내출혈, 근육간출혈 등이 발생하였고,"
i,피고인은 피해자 C을 사망에 이르게 할 수 있을 만큼 위험한 공격을 가한 것으로 보인다.
d,"3) 메토밀은 독성으로 인하여 현재 판매가 중지되어 있을 정도의 고독성 카바메이트계 살충제로, 피해자의 체중에 따른 추정 치사랑(최소 41.5mg)을 고려하면,"
u,"이 법원이 적법하게 채택하여 조사한 증거들에 의하여 인정되는 다음과 같은 사정들을 종합하면,"
w,"1) 살인죄에 있어서 범의는 반드시 살해의 목적이나 계획적인 살해의 의도가 있어야 인정되는 것은 아니고,"
d,"⑤ 피고인은 이 사건 범행 있던 날인 2008. 1. 20. 19:00에서 20:00경 사이에 이 사건 범행 인근인 부△ 남구에 있는 xxx라는 상호에서 음식과 술을 시켜 마시고 갔으며,"
u,"그러나 이 법원이 채택·조사한 증거들에 의하여 인정되는 다음과 같은 사정 즉,"
i,"단순히 69세 여성 노인인 피해자 신○○만을 범행대상으로 삼았다거나 단지 피해자들에게 자신과 피해자 최○○의 내연관계에 관한 모든 책임이 자신에게 있지 않다는 점을 설명하고자 하였다면 위와 같은 준비를 하지는 않았을 것으로 보이는 점,"
i,"달리 제3자가 위 주거지를 방문하였다는 사정은 엿보이지 않고,"
c,피고인에게 피해자를 살해할 고의가 없었다.
e,"피해자의 위 부검감정 결과에서 알 수 있는 피해자의 신체에 나타난 위와 같은 울혈,점출혈,피부 및 출혈, 근육속출혈 등은 사망 직전에 발생한 생전손상에 해당하는데,"
d,"2 피해자의 신체만 불에 타고 소파 등 다른 내부 집기는 전혀 불에 타지 않았는바,"
u,"위 법리에 비추어 살피건대, 이 법원이 적법하게 채택하여 조사한 증거들에 의하여 인정되는 다음과 같은 범행의 경위, 범행 당시의 상황, 범행의 도구와 수법, 공격의 부위 등을 종합하여 보면,"
ic,피고인 및 변호인의 이 부분 주장은 받아들이지 아니한다.
d,"3 피고인이 칼로 찌른 왼쪽 가슴은 심장, 폐 등"
i,"더욱이, 2018. 9. 28.부터 2019. 9. 28.까지의 피해자의 건강보험 요양급여내역 회신 결과를 보더라도 피해자는 위 기간 동안 95건의 치료를 받는 등"
d,"6 피고인은 이 사건 범행 현장에서 칼 외에 노래방에 비치되어 있던 '톱'도 들고 다녔던 사실이 있는데,"
u,"그러나 먼저, 피고인이 판시 제1항 범행 당시 심신상실 상태에 있었는지 보건대,"
d,"같은 증거들에 의하여 알 수 있는 이 사건범행의 발생 경위, 범행의 수단과 방법, 범행 전후의 피고인의 언행, 범행 후의 정황등에 비추어 볼 때,"
w,"피고인에게 범행 당시 살인의 범의가 있었는지 여부는 피고인이 범행에 이르게 된 경위,범행의 동기, 준비된 흉기의 유무ㆍ종류ㆍ용법, 공격의 부위와 반복성, 사망의 결과발생가능성 정도 등 범행 전후의 객관적인 사정을 종합하여 판단할 수밖에 없다"
i,"이는 피해자 E을 살해할 목적이 아니라 피고인이 자살하기 위해 소지한 것이므로,"
c,위법성 혹은 책임이 조각된다.
i,"4이 사건 발생 직후 측정한 피고인 및 피해자의 혈중 일산화탄소헤모글로빈 수치는 각 23 28%로 만약 밀폐된 공간에서 시간이 경과되었다면 사망할 가능성이 있었던 점등을 종합하면,"
d,"제267쪽),"
e,"오른쪽 넙다리 부위 상처는 앞면 10cm가량, 뒷면 8cm가량 길이로 역시 근육층까지 들어간 깊이인 점,"
i,"물론 피해자 C이 머리뼈 골절 또는 뇌출혈과 같은 치명적인 손상을 입은 것은 아니지만,"
i,국립과학수사연구원이 이 사건 차량을 감정할 당시 조수석 바닥 연소물 중 장갑으로 추정되는 연소물이 발견된 것과도 일치하는 등
c,"당시 피고인은 이와 같은 자신의 폭행으로 말미암아 피해자에게 사망이라는 결과가 발생할 가능성 또는 위험이 있음을 최소한 미필적으로라도 인식하거나 예견하여 살인의 범의가 있었던 것으로 충분히 인정되므로,"
d,"마) 피고인은 마지막 검찰 조사 당시 “제가 물병에 농약을 탈 때 ‘이 물병에 있는 농약물을 먹으면 피해자가 죽을 수도 있겠구나‘ 하는 생각을 하기는 하였으나 ’이 농약을 타서 피해자를 죽여야겠다‘는 생각을 한 것은 아닙니다”라고 진술(증거기록 제625면)하였다가,"
d,"2015. 1. 20. 피해자에게 바람피운 것도 그런데 내 등쳐 필히 결산 보자구, 돈 떨어져서 경비마들어갈께 기다려화려한 이별이 될테니'라는 내용의 문자를 보내기도 하였고,"
i,"피해자 F으로서는 피고인이 맥주병을 내실에 가지고 들어온 시점이 언제인지에 대하여 허위진술을 할 아무런 이유가 없어 보이는 점,"
d,"피고인이 피해자에게 사시미칼을 휘두르고 식칼을 던진 사실은 인정하나,"
i,1 피고인의 집은 'F부동산'과 반대 방향에 도보로 갈 수 있는 거리에 있었던 점
c,이에 관한 피고인 및 변호인의 주장은 받아들이지 아니한다.
d,그로부터 약 3시간이 지난 후에야 지인인 L에게 M 메시지로 'E건물 F호'의 비밀번호를 알려주면서 '여자친구가 방에 쓰러져 있는데 죽은 것 같으니 가보라'고 말하여 L가 119에 신고하게 되었다.
c,피고인이 범행 당시 사물을 변별할 능력이나 의사를 결정할 능력을 상실하거나 미약한 상태에까지 이르렀다고 보기는 어렵다.
d,내가 이기적인 거를 끊어내야 할 부분이었는데 ○○는 더 이기적이야.
c,"피고인이 부인하는 공소사실 부분은 합리적 의심의 여지가 없을 정도로 입증이 되었다 할 것이므로,"
u,"그러나 이 법원이 적법하게 채택하여 조사한 증거들에 의하여 알 수 있는 다음과 같은 사정들에 범행 경위, 내용 및 태양, 범행 전후의 행동 등을 종합해 보면,"
d,피해자가 찔린 캠핑용 칼날의 길이(13cm)를 고려하면
w,자기의 행위로 인하여 타인의 사망이라는 결과를 발생시킬 만한 가능성 또는 위험이 있음을 인식하거나 예견하면 족한 것이며
c,나. 피고인은 이 사건 범행 당시 심신상실 또는 심신미약 상태에 있었다.
d,"그때 경찰이 112 신고자의 휴대전화번호로 전화를 결자,"
c,피고인이 피해자를 칼로 찔러 피해자를 살해하려다 미수에 그친 사실을 인정할 수 있다.
d,얼굴에 염산이 묻은 것을 알게 되었다.
e,엔진룸에서 발화가 시작되었다면 엔진룸에 가장 많이 소훼되었어야 하므로
c,"달리 자수하였음을 인정하기 어려우므로,"
u,"이 법원이 적법하게 채택하여 조사한 증거들에 의하면,"
u,이를 종합하여 보면
i,이 사건 차량 내부에서 인화성 물질이 검출되지 아니하였다고 하여 인화성 물질로 인한 발화 가능성을 배제할 수 없다.
i,"⑥피고인은 단순히 피해자에게 겁을 주고 혼을 내주기 위해 범행에 이르렀다고 주장하지만,"
i,피고인은 피해자 안.과 동거생활을 청산한 후 피해자와 관계 회복을 위해 노력하였으나
d,(피고인 B은 경찰조사에서'피고인 A이 피해자를 폭행하는 모습을 보고 저러다가 피해자가 죽겠구나 하는 생각이 들었다 진술하였다.
ic,따라서 피고인과 변호인의 이 부분 주장은 받아들이지 않는다.
d,"기록에 의하면, 피고인이 이 사건 범행 당시 술을 마신 상태였고,"
i,피고인이 이 사건 범행 당시 술을 마신 상태였음은 인정된다.
u,"이 법원이 적법하게 채택하여 조사한 증거들에 의하면,"
w,"3 위험한 물건인 자동차로 사람을 들이받을 경우 차량과의 충돌 자체로 신체에 큰 충격이 가해지고,"
d,"그래서 끊어내야 할 부분이었다고,"
d,"스스로도 ""정신병원에 입원해야 할 만큼 정신 건강 상태에 문제가 있는 정도는 아니다.""라고진술한 점"
i,흥분한 상태에서 피해자에게 이 사건 범행을 하게 된 것으로 보인다.
u,"(2) 기록에 의하면,"
ic,따라서 피고인과 변호인의 주장은 받아들이지 아니한다.
d,1 피고인은 판시 살인죄의 범죄사실 기재와 같이이 사건 당시 피고인의 이웃 등이 피고인의 가족을 괴롭히려고 한다거나 휴대폰을 도청하고 있다는 등
i,"또한 피고인은 물론 F 역시 피해자와 같은 마을에서 오랜 기간 동안 지내왔으나,"
w,피고인이 범행 당시 살인의 범의는 없었고
d,"피해자는 ""지랄하지 말아. 제발 좀.제발 좀.""이라고 욕설을 섞었음에도 차분히 말하였다."
d,"3 이 사건 범행 장면이 녹화된 CCTV 화면에 의하면,"
i,일회적인 충격만으로는 넓은 피부까짐 증상이 도저히 발생할 수 없는 점 등에 비추어 배제할 수 있다고 할 것이다 4
d,그곳에서도 피해자의 욕설과 폭행이 계속되었다.
i,"그리고 위에서 본 것처럼 피고인의 이 사건 범행이 순전히 방어의 목적 하에서 이루어진 방위행위에 해당하지 않으므로,"
d,"(증거기록 146쪽),"
e,2018. 8. 1.부터 2019. 4. 25.까지 비기질성 불면증으로 11회 정신과 외래진료를 받은 사실은 인정된다.
d,"2 피고인이 이 사건 당시 피해자를 가격한 도구는, 그라인더로 머리 부분을 날카롭게 절단한 골프채(전체길이 92cm. 350g)로, 그 머리 부분은 강철로 되어 있다."
d,"1 피고인은 당시 피해자에게 돈을 달라고 요구하면서 피해자의 스마트폰으로 피해자의 예금계좌 잔고를 확인하기도 했고,"
c,피고인이 이 사건 범행 당시 심신미약 상태를 넘어 사물을 변별할능력이나 의사를 결정할 능력이 없는 심신상실 상태에까지 이르렀다고는 보이지 않는다.
w,"다슬기는 보통 얕은 물에서 손으로 채취하는 점,"
d,피해자 정○○의 목을 졸라 살해하겠다.
i,"이 사건 범행 당시의 살인의 고의까지 부정된다고는 볼 수 없는 점을 종합하면,"
d,(증거기록 제233쪽).
d,01:20경에는 '살 수가 없어.
d,"사망 당시에는 이마, 눈, 턱, 오른쪽 뒤통수 부위 등에 멍 또는 피부 벗겨짐이 있었고,"
d,"그 상태에서 피고인이 칼을 들고 있는 오른손을 이빨로 물었고 그 사이에 E가 칼을 빼앗았으며,"
i,피고인과 변호인이 주장하는 사정만으로 그 진술의 신빙성을 배척하기는 어려우므로
i,"1 피고인은 비록 정상적인 직장생활이나 사회생활을 하지는 못했어도, 부모님과 함께 생활하며 독립적으로 일상생활을 영위해 왔다."
c,피고인에게 피해자 C을 살해할 고의가 없었다고 주장한다.
w,"위 공격 부위가 사람의 생명에 직접적인 위험을 줄 수 있는 부위임은 경험칙상 누구나 알고 있는 상식에 해당하고,"
i,그 횟수도 피해자의 얼굴과 머리 부위를 약 11회 때린 것이 아니라 수회 정도 때리는 데 그쳤다.
i,"약을 올리기에 순간적으로 너무 화가 나서 우발적으로 피해자를 찌르게 된 것일 뿐,"
d,밤색 골덴 자켓 안쪽 주머니에서 칼을 꺼내 자신의 배를 찌르고
d,"② 피고인은 미리 준비한 손도끼로 피해자의 머리를 내리쳤는데,"
